"gid","street_name","street_type","suburb","postcode","state","latitude","longitude","geom","delivery_id"
17985,KENSINGTON,ROAD,KENSINGTON,"3031",VIC,-37.79431483,144.92699295,POINT (144.92699295 -37.79431483),1
28383,RAILWAY,PLACE,WEST MELBOURNE,"3003",VIC,-37.80946320,144.94475838,POINT (144.94475838 -37.8094632),2
8781,COURTNEY,STREET,NORTH MELBOURNE,"3051",VIC,-37.80076484,144.95209394,POINT (144.95209394 -37.80076484),3
13455,FERRARS,STREET,SOUTH MELBOURNE,"3205",VIC,-37.83289984,144.95463694,POINT (144.95463694 -37.83289984),4
8333,COLLINS,STREET,MELBOURNE,"3000",VIC,-37.81471878,144.96996338,POINT (144.96996338 -37.81471878),5
15319,GREVILLE,STREET,PRAHRAN,"3181",VIC,-37.84902902,144.99059307,POINT (144.99059307 -37.84902902),6
16476,HIGHBURY,GROVE,PRAHRAN,"3181",VIC,-37.85598384,145.00721592,POINT (145.00721592 -37.85598384),7
9908,DE LE MORE,PLACE,NORTH MELBOURNE,"3051",VIC,-37.80165741,144.94929088,POINT (144.94929088 -37.80165741),8
15694,HARDWARE,LANE,MELBOURNE,"3000",VIC,-37.81440638,144.96179304,POINT (144.96179304 -37.81440638),9
16692,HOPE,STREET,SOUTH YARRA,"3141",VIC,-37.83615864,144.97944316,POINT (144.97944316 -37.83615864),10
13748,FLEMINGTON,ROAD,NORTH MELBOURNE,"3051",VIC,-37.79038604,144.94149229,POINT (144.94149229 -37.79038604),11
18015,KENSINGTON,ROAD,SOUTH YARRA,"3141",VIC,-37.83792384,145.00203793,POINT (145.00203793 -37.83792384),12
7749,CLARKE,STREET,SOUTHBANK,"3006",VIC,-37.82759184,144.95927094,POINT (144.95927094 -37.82759184),13
33273,TODD,ROAD,PORT MELBOURNE,"3207",VIC,-37.82779682,144.91201456,POINT (144.91201456 -37.82779682),14
19023,LEOPOLD,STREET,SOUTH YARRA,"3141",VIC,-37.83468575,144.98341484,POINT (144.98341484 -37.83468575),15
33305,TOMKINS,ROAD,PORT MELBOURNE,"3207",VIC,-37.82857775,144.94270593,POINT (144.94270593 -37.82857775),16
4837,BRYANT,STREET,FLEMINGTON,"3031",VIC,-37.78556984,144.93244895,POINT (144.93244895 -37.78556984),17
16791,HOTHAM,STREET,EAST MELBOURNE,"3002",VIC,-37.81475242,144.98939731,POINT (144.98939731 -37.81475242),18
32205,SURREY,ROAD,SOUTH YARRA,"3141",VIC,-37.84188443,144.99883678,POINT (144.99883678 -37.84188443),19
19618,LITTLE COLLINS,STREET,MELBOURNE,"3000",VIC,-37.81277801,144.97239065,POINT (144.97239065 -37.81277801),20
3682,BENDALL,STREET,KENSINGTON,"3031",VIC,-37.78876983,144.92438495,POINT (144.92438495 -37.78876983),21
13541,FISHLEY,STREET,SOUTH MELBOURNE,"3205",VIC,-37.83422984,144.95908794,POINT (144.95908794 -37.83422984),22
35207,WILLIAM,STREET,MELBOURNE,"3000",VIC,-37.81556593,144.95776973,POINT (144.95776973 -37.81556593),23
27529,PUNT,ROAD,SOUTH YARRA,"3141",VIC,-37.84142684,144.98608293,POINT (144.98608293 -37.84142684),24
2240,BANK,STREET,SOUTH MELBOURNE,"3205",VIC,-37.83564484,144.95495794,POINT (144.95495794 -37.83564484),25
32583,TATES,PLACE,SOUTH MELBOURNE,"3205",VIC,-37.83030969,144.95259950,POINT (144.9525995 -37.83030969),26
6330,CHAPEL,STREET,SOUTH YARRA,"3141",VIC,-37.84255784,144.99479093,POINT (144.99479093 -37.84255784),27
3942,BLUEPRINT,CIRCUIT,PORT MELBOURNE,"3207",VIC,-37.83635288,144.91527533,POINT (144.91527533 -37.83635288),28
372,ADDERLEY,STREET,WEST MELBOURNE,"3003",VIC,-37.80947839,144.94632158,POINT (144.94632158 -37.80947839),29
416,ADDERLEY,STREET,WEST MELBOURNE,"3003",VIC,-37.80803684,144.94375994,POINT (144.94375994 -37.80803684),30
4023,BOUNDARY,ROAD,NORTH MELBOURNE,"3051",VIC,-37.79526927,144.93909538,POINT (144.93909538 -37.79526927),31
34557,WALTHAM,STREET,FLEMINGTON,"3031",VIC,-37.78374484,144.93114895,POINT (144.93114895 -37.78374484),32
