"row_id","restaurant_code","chain_id","primary_cuisine","latitude","longitude","geom","restaurant_id","suburb","postcode"
19190,"615b5e7e",f9aa47f6,Japanese,-37.80092933,144.95515785,POINT (144.95515785 -37.80092933),983,NORTH MELBOURNE,"3051"
9352,"06e9e0cd","31300311",Japanese,-37.83857784,144.94635494,POINT (144.94635494 -37.83857784),982,PORT MELBOURNE,"3207"
17725,"32b66420",ec3b749b,Indian,-37.79467493,144.96772917,POINT (144.96772917 -37.79467493),977,CARLTON,"3053"
9962,"64a03960",b6620d07,Japanese,-37.77962313,144.94087653,POINT (144.94087653 -37.77962313),997,PARKVILLE,"3052"
22873,c873a50b,"9f52af27",Beverages,-37.85058184,144.99447093,POINT (144.99447093 -37.85058184),985,PRAHRAN,"3181"
11225,bf17ec7f,"10940d7c",Indian,-37.83090768,144.98641465,POINT (144.98641465 -37.83090768),998,SOUTH YARRA,"3141"
10731,cd476b20,"3d198088",Indian,-37.79702684,144.96833494,POINT (144.96833494 -37.79702684),978,CARLTON,"3053"
12053,b6bf62eb,d792f760,Desserts,-37.80191884,144.95007394,POINT (144.95007394 -37.80191884),993,NORTH MELBOURNE,"3051"
22840,"73590408",c9da7ce7,Japanese,-37.83798002,144.94392834,POINT (144.94392834 -37.83798002),984,PORT MELBOURNE,"3207"
9767,"21a23a50","",Indian,-37.84227884,144.99271893,POINT (144.99271893 -37.84227884),989,SOUTH YARRA,"3141"
9231,"1841d7bf","10940d7c",Indian,-37.85310184,145.00383693,POINT (145.00383693 -37.85310184),991,PRAHRAN,"3181"
9337,d9beaa54,"46b646d4",Healthy,-37.79176383,144.92641695,POINT (144.92641695 -37.79176383),996,KENSINGTON,"3031"
14977,"603370f8",f873c75f,Indian,-37.79423883,144.91754595,POINT (144.91754595 -37.79423883),976,KENSINGTON,"3031"
8447,ace99077,"9f52af27",Beverages,-37.78660883,144.93000095,POINT (144.93000095 -37.78660883),1000,FLEMINGTON,"3031"
11040,"5a5136dc",acdf9bdd,Indian,-37.80327684,144.94420994,POINT (144.94420994 -37.80327684),980,NORTH MELBOURNE,"3051"
2688,ae8b7b32,"",Indian,-37.80368562,144.96615397,POINT (144.96615397 -37.80368562),987,CARLTON,"3053"
9690,"63627821","",Indian,-37.79479016,144.93185537,POINT (144.93185537 -37.79479016),981,KENSINGTON,"3031"
22196,d9982a25,"",Snacks,-37.79626484,144.97222894,POINT (144.97222894 -37.79626484),999,CARLTON,"3053"
6431,"04007a9e","",Indian,-37.85719840,145.00637702,POINT (145.00637702 -37.8571984),994,PRAHRAN,"3181"
18149,"0d4dee30","",Desserts,-37.79110184,144.93079594,POINT (144.93079594 -37.79110184),992,KENSINGTON,"3031"
6428,a02c8065,dc466c39,Snacks,-37.79431468,144.91791963,POINT (144.91791963 -37.79431468),995,KENSINGTON,"3031"
4857,"4771d115","2d9662d2",Snacks,-37.83702984,144.99883793,POINT (144.99883793 -37.83702984),979,SOUTH YARRA,"3141"
20074,d495a877,"",Indian,-37.83784984,144.94840694,POINT (144.94840694 -37.83784984),986,SOUTH MELBOURNE,"3205"
21405,"65195118","",Desserts,-37.83335784,144.93438794,POINT (144.93438794 -37.83335784),988,PORT MELBOURNE,"3207"
6503,"2dbc896d","",Indian,-37.78472883,144.92099295,POINT (144.92099295 -37.78472883),990,FLEMINGTON,"3031"
8846,"619e7824",a696f702,Indian,-37.80199584,144.94537494,POINT (144.94537494 -37.80199584),566,NORTH MELBOURNE,"3051"
17981,"12da9e9a","",Snacks,-37.79640772,144.94696149,POINT (144.94696149 -37.79640772),270,NORTH MELBOURNE,"3051"
4160,"34dc0f99","",Snacks,-37.79575631,144.94648598,POINT (144.94648598 -37.79575631),557,NORTH MELBOURNE,"3051"
4183,"2d3d6b9c","4bfa0362",Western,-37.79562084,144.94703394,POINT (144.94703394 -37.79562084),894,NORTH MELBOURNE,"3051"
7730,b9e93fe2,"",Indian,-37.79487484,144.94663494,POINT (144.94663494 -37.79487484),83,NORTH MELBOURNE,"3051"
8445,"6119cfd1","3c91b1bb",Desserts,-37.79479484,144.94719394,POINT (144.94719394 -37.79479484),875,NORTH MELBOURNE,"3051"
18044,f4f89042,"",Indian,-37.80503505,144.94480632,POINT (144.94480632 -37.80503505),28,WEST MELBOURNE,"3003"
2302,"47e9bef2","0caffc2b",Japanese,-37.85279184,145.00466293,POINT (145.00466293 -37.85279184),486,PRAHRAN,"3181"
9861,fd732d39,"82aada8b",Korean,-37.85268184,145.00380993,POINT (145.00380993 -37.85268184),603,PRAHRAN,"3181"
15137,"7b10d324","10940d7c",Indian,-37.83613804,144.97719386,POINT (144.97719386 -37.83613804),835,SOUTH YARRA,"3141"
11425,afe8fa99,d4474d04,Snacks,-37.81106227,144.94692882,POINT (144.94692882 -37.81106227),572,WEST MELBOURNE,"3003"
10581,"72ddaa46",c06f2f01,Western,-37.81087997,144.94693086,POINT (144.94693086 -37.81087997),889,WEST MELBOURNE,"3003"
7341,"51509386",b5853588,Japanese,-37.81063446,144.94734808,POINT (144.94734808 -37.81063446),252,WEST MELBOURNE,"3003"
7147,"35c13d41","",Indian,-37.80929784,144.94679894,POINT (144.94679894 -37.80929784),410,WEST MELBOURNE,"3003"
21012,"1f3f71d0","",Beverages,-37.80811284,144.94501894,POINT (144.94501894 -37.80811284),450,WEST MELBOURNE,"3003"
13168,"09c3f90b","8dc94713",Beverages,-37.84529084,144.98597793,POINT (144.98597793 -37.84529084),934,SOUTH YARRA,"3141"
